"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements.cypher"
"com.fasterxml.jackson.annotation.JsonCreator","Constructor",16,"org.axonframework.modelling.command.AggregateScopeDescriptor.<init>,org.axonframework.modelling.saga.SagaScopeDescriptor.<init>,org.axonframework.eventhandling.GapAwareTrackingToken.<init>,org.axonframework.eventhandling.GlobalSequenceTrackingToken.<init>,org.axonframework.eventhandling.MergedTrackingToken.<init>,org.axonframework.eventhandling.MultiSourceTrackingToken.<init>,org.axonframework.eventhandling.ReplayToken.<init>,org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerScheduleToken.<init>,org.axonframework.eventhandling.scheduling.java.SimpleScheduleToken.<init>",""
"javax.persistence.Column","Field",12,"org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry.serializedSaga,org.axonframework.modelling.saga.repository.jpa.SagaEntry.serializedSaga,org.axonframework.eventhandling.AbstractEventEntry.eventIdentifier,org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.causeMessage,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.diagnostics,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.payload,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.metaData",""
"jakarta.persistence.Column","Field",11,"org.axonframework.modelling.saga.repository.jpa.SagaEntry.serializedSaga,org.axonframework.eventhandling.AbstractEventEntry.eventIdentifier,org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.causeMessage,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.diagnostics,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.eventIdentifier,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.payload,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.metaData",""
"org.axonframework.common.Priority","Class",11,"org.axonframework.config.ConfigurationParameterResolverFactory,org.axonframework.commandhandling.CurrentUnitOfWorkParameterResolverFactory,org.axonframework.eventhandling.SequenceNumberParameterResolverFactory,org.axonframework.eventhandling.TimestampParameterResolverFactory,org.axonframework.messaging.annotation.AggregateTypeParameterResolverFactory,org.axonframework.messaging.annotation.DefaultParameterResolverFactory,org.axonframework.messaging.annotation.InterceptorChainParameterResolverFactory,org.axonframework.messaging.annotation.MessageIdentifierParameterResolverFactory,org.axonframework.messaging.annotation.SimpleResourceParameterResolverFactory",""
"javax.persistence.Id","Field",10,"org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry.sagaId,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.id,org.axonframework.modelling.saga.repository.jpa.SagaEntry.sagaId,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.aggregateIdentifier,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.sequenceNumber,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.type,org.axonframework.eventhandling.AbstractSequencedDomainEventEntry.globalIndex,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.deadLetterId,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.processorName",""
"javax.persistence.Lob","Field",10,"org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry.serializedSaga,org.axonframework.modelling.saga.repository.jpa.SagaEntry.serializedSaga,org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.diagnostics,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.payload,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.token,org.axonframework.eventhandling.tokenstore.AbstractTokenEntry.token",""
"jakarta.persistence.Id","Field",9,"org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.id,org.axonframework.modelling.saga.repository.jpa.SagaEntry.sagaId,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.aggregateIdentifier,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.sequenceNumber,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.type,org.axonframework.eventhandling.AbstractSequencedDomainEventEntry.globalIndex,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.deadLetterId,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.processorName,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.segment",""
"com.fasterxml.jackson.annotation.JsonGetter","Method",9,"org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.getFirst,org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.getSecond,org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter.getCommandNames,org.axonframework.commandhandling.distributed.commandfilter.DenyCommandNameFilter.getCommandNames,org.axonframework.commandhandling.distributed.commandfilter.NegateCommandMessageFilter.getFilter,org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter.getFirst,org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter.getSecond,org.axonframework.eventhandling.MergedTrackingToken.lowerSegmentToken,org.axonframework.eventhandling.MergedTrackingToken.upperSegmentToken",""
"java.lang.SafeVarargs","Constructor",9,"org.axonframework.commandhandling.gateway.NonTransientExceptionClassesPredicate.<init>,org.axonframework.messaging.unitofwork.BatchingUnitOfWork.<init>,org.axonframework.monitoring.MultiMessageMonitor.<init>,org.axonframework.serialization.upcasting.GenericUpcasterChain.<init>,org.axonframework.test.matchers.ListMatcher.<init>,org.axonframework.test.matchers.SequenceMatcher.<init>,org.axonframework.test.matchers.ListWithAllOfMatcher.<init>,org.axonframework.test.matchers.ExactSequenceMatcher.<init>,org.axonframework.test.matchers.ListWithAnyOfMatcher.<init>",""
"org.axonframework.messaging.annotation.HasHandlerAttributes","Annotation",8,"org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.saga.EndSaga,org.axonframework.modelling.saga.StartSaga,org.axonframework.eventhandling.AllowReplay,org.axonframework.lifecycle.ShutdownHandler,org.axonframework.lifecycle.StartHandler,org.axonframework.messaging.annotation.MessageHandler,org.axonframework.messaging.interceptors.ResultHandler",""
"jakarta.persistence.Lob","Field",8,"org.axonframework.modelling.saga.repository.jpa.SagaEntry.serializedSaga,org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.diagnostics,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.payload,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.token,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.token",""
"jakarta.persistence.Entity","Class",6,"org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry,org.axonframework.modelling.saga.repository.jpa.SagaEntry,org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry,org.axonframework.eventsourcing.eventstore.jpa.SnapshotEventEntry,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry",""
"javax.persistence.Entity","Class",6,"org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry,org.axonframework.modelling.saga.repository.jpa.SagaEntry,org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry,org.axonframework.eventsourcing.eventstore.jpa.SnapshotEventEntry,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry",""
"javax.persistence.MappedSuperclass","Class",6,"org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry,org.axonframework.eventhandling.AbstractDomainEventEntry,org.axonframework.eventhandling.AbstractEventEntry,org.axonframework.eventhandling.AbstractSequencedDomainEventEntry,org.axonframework.eventhandling.tokenstore.AbstractTokenEntry",""
"java.lang.SafeVarargs","Method",6,"org.axonframework.config.AggregateConfigurer.withSubtypes,org.axonframework.test.aggregate.AggregateTestFixture.withSubtypes,org.axonframework.test.matchers.Matchers.listWithAllOf,org.axonframework.test.matchers.Matchers.listWithAnyOf,org.axonframework.test.matchers.Matchers.sequenceOf,org.axonframework.test.matchers.Matchers.exactSequenceOf",""
"org.axonframework.messaging.annotation.MessageHandler","Annotation",6,"org.axonframework.commandhandling.CommandHandler,org.axonframework.deadline.annotation.DeadlineHandler,org.axonframework.eventhandling.EventHandler,org.axonframework.eventhandling.ResetHandler,org.axonframework.messaging.interceptors.MessageHandlerInterceptor,org.axonframework.queryhandling.QueryHandler",""
"jakarta.persistence.MappedSuperclass","Class",4,"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry,org.axonframework.eventhandling.AbstractDomainEventEntry,org.axonframework.eventhandling.AbstractEventEntry,org.axonframework.eventhandling.AbstractSequencedDomainEventEntry",""
"com.fasterxml.jackson.annotation.JsonTypeInfo","Field",4,"org.axonframework.eventhandling.MultiSourceTrackingToken.trackingTokens,org.axonframework.eventhandling.ReplayToken.tokenAtReset,org.axonframework.eventhandling.ReplayToken.currentToken,org.axonframework.eventhandling.ReplayToken.context",""
"java.lang.Deprecated","Interface",3,"org.axonframework.modelling.command.inspection.CommandHandlerInterceptorHandlingMember,org.axonframework.common.legacyjpa.EntityManagerProvider,org.axonframework.eventhandling.deadletter.legacyjpa.DeadLetterJpaConverter",""
"jakarta.persistence.Table","Class",3,"org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry,org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry",""
"javax.persistence.Table","Class",3,"org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry,org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry",""
"java.lang.annotation.Inherited","Annotation",3,"org.axonframework.config.ProcessingGroup,org.axonframework.common.Priority,org.axonframework.serialization.Revision",""
"java.lang.Deprecated","Field",3,"org.axonframework.deadline.quartz.DeadlineJob$DeadlineJobDataBinder.SERIALIZED_DEADLINE_MESSAGE,org.axonframework.deadline.quartz.DeadlineJob$DeadlineJobDataBinder.SERIALIZED_DEADLINE_MESSAGE_CLASS_NAME,org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$DirectEventJobDataBinder.EVENT_KEY",""
"com.fasterxml.jackson.annotation.JsonIgnore","Method",3,"org.axonframework.eventhandling.MergedTrackingToken.isLowerSegmentAdvanced,org.axonframework.eventhandling.MergedTrackingToken.isUpperSegmentAdvanced,org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerScheduleToken.getTaskName",""
"org.axonframework.messaging.interceptors.MessageHandlerInterceptor","Annotation",2,"org.axonframework.modelling.command.CommandHandlerInterceptor,org.axonframework.messaging.interceptors.ExceptionHandler",""
"org.axonframework.eventhandling.EventHandler","Annotation",2,"org.axonframework.modelling.saga.SagaEventHandler,org.axonframework.eventsourcing.EventSourcingHandler",""
"jakarta.persistence.GeneratedValue","Field",2,"org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.id,org.axonframework.eventhandling.AbstractSequencedDomainEventEntry.globalIndex",""
"javax.persistence.GeneratedValue","Field",2,"org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.id,org.axonframework.eventhandling.AbstractSequencedDomainEventEntry.globalIndex",""
"javax.annotation.Nullable","Method",2,"org.axonframework.config.AxonIQConsoleModule.consoleClientVersion,org.axonframework.eventhandling.ReplayToken.context",""
"javax.persistence.IdClass","Class",2,"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry",""
"jakarta.persistence.IdClass","Class",2,"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry",""
"com.fasterxml.jackson.annotation.JsonTypeInfo","Interface",2,"org.axonframework.commandhandling.distributed.CommandMessageFilter,org.axonframework.eventhandling.scheduling.ScheduleToken",""
"com.fasterxml.jackson.annotation.JsonTypeInfo","Method",2,"org.axonframework.eventhandling.MergedTrackingToken.lowerSegmentToken,org.axonframework.eventhandling.MergedTrackingToken.upperSegmentToken",""
"org.axonframework.modelling.command.EntityId","Annotation",1,"org.axonframework.modelling.command.AggregateIdentifier",""
"org.axonframework.commandhandling.RoutingKey","Annotation",1,"org.axonframework.modelling.command.TargetAggregateIdentifier",""
"javax.annotation.PreDestroy","Method",1,"org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore.shutDown",""
"org.axonframework.eventhandling.AllowReplay","Annotation",1,"org.axonframework.eventhandling.DisallowReplay",""
"jakarta.persistence.Embedded","Field",1,"org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.message",""
"javax.persistence.Embedded","Field",1,"org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.message",""
"jakarta.persistence.Embeddable","Class",1,"org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry",""
"javax.persistence.Embeddable","Class",1,"org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry",""
"org.axonframework.messaging.interceptors.ResultHandler","Annotation",1,"org.axonframework.messaging.interceptors.ExceptionHandler",""
